CODE_IRIS,CODE_COMMUNE,ANNEE_DONNEES,MODE_TRANS,VALEUR
920020101,92002,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,22.8314220828786
920020102,92002,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,23.1619202331076
920020103,92002,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,34.5646765946195
920020104,92002,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,32.9930457465586
920020105,92002,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,38.932991803226
920020106,92002,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,35.1758510112058
920020107,92002,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,35.1331672396803
920020201,92002,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,27.2293821775021
920020202,92002,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,34.0674716060753
920020203,92002,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,65.5772527957071
920020204,92002,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,18.6765128276619
920020205,92002,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,37.8968674616164
920020301,92002,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,33.3738071881861
920020302,92002,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,22.7523364037365
920020303,92002,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,56.3353556960946
920020304,92002,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,31.8427962408489
920020305,92002,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,16.7852463378721
920020306,92002,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,18.1456338101818
920020307,92002,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,12.2767631059177
920020308,92002,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,15.7155250632212
920020401,92002,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,32.9126823834081
920020402,92002,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,51.4298644897872
920020403,92002,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,36.3745864180289
920020404,92002,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,25.9835905186318
920020405,92002,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,16.2124736899389
920020406,92002,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,12.4356413511724
920020407,92002,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,10.2049620593332
920040101,92004,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,43.1927771146811
920040102,92004,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,30.8589433985074
920040103,92004,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,49.9106109525146
920040104,92004,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,27.6576618597796
920040105,92004,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,21.4307828636619
920040201,92004,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,52.2636194756814
920040202,92004,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,42.456461667673
920040203,92004,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,20.1577471017892
920040301,92004,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,29.8504865208403
920040302,92004,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,42.7660158379694
920040303,92004,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,26.4232666590539
920040304,92004,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,39.1280857030973
920040305,92004,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,17.2295629080881
920040401,92004,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,14.5028847159923
920040402,92004,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,72.4290325654544
920040403,92004,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,54.2283404337479
920040404,92004,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,35.8798912669668
920040501,92004,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,30.1788154866341
920040502,92004,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,56.2119836231946
920040503,92004,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,59.6507373992087
920040504,92004,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,17.0048775770174
920040601,92004,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,50.1361004007796
920040602,92004,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,23.5172658955531
920040603,92004,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,52.1516711506463
920040604,92004,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,52.9180488738508
920040701,92004,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,8.53959162220354
920040702,92004,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,11.0721392338124
920040703,92004,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,36.0857556861749
920040704,92004,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,24.0855897114441
920040705,92004,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,15.1674842244944
920040706,92004,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,35.3321551913035
920040707,92004,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,52.7650711582115
920070101,92007,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,22.9487955050046
920070102,92007,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,13.8761555077241
920070103,92007,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,27.9830722333536
920070104,92007,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,26.5641221785402
920070105,92007,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,26.432335992256
920070106,92007,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,34.6825705003655
920070107,92007,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,45.0519792525976
920070108,92007,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,10.5157494231307
920070109,92007,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,21.5407053465804
920070110,92007,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,21.54640048582
920070111,92007,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,44.0318633339973
920070112,92007,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,19.9374240501392
920070113,92007,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,21.926321514359
920070114,92007,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,40.9345339291398
920070115,92007,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,18.3696869017139
920070116,92007,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,14.5765500953002
920070117,92007,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,13.0842133291302
920090101,92009,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,22.01305782502
920090102,92009,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,32.2294466268223
920090103,92009,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,46.409475037971
920090104,92009,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,10.3041645115226
920090105,92009,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,58.8743560916013
920090106,92009,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,14.5358606298186
920090107,92009,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,30.0576646099142
920090108,92009,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,73.9315818524223
920090109,92009,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,35.1491184772119
920090110,92009,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,24.4272407963167
920090111,92009,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,9.1280883949685
920090112,92009,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,48.6675984972453
920120101,92012,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,87.3548901366581
920120102,92012,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,93.0120603075741
920120103,92012,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,44.8551716408557
920120105,92012,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,41.7029047150139
920120106,92012,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,38.3757859626722
920120107,92012,2017,nombre d'actifs occupés de 15 ans ou plus qui n'utilisent pas de moyen de transport pour aller travailler,25.3452986977251
